Date,Open,High,Low,Close,Adj Close,Volume
2021-01-12,6.950000,6.950000,6.950000,6.950000,6.950000,4611813
2021-01-13,6.650000,6.650000,6.650000,6.650000,6.650000,5276324
2021-01-14,6.350000,6.350000,6.350000,6.350000,6.350000,4886505
2021-01-15,6.200000,6.650000,6.150000,6.650000,6.650000,22566273
2021-01-18,6.850000,6.950000,6.700000,6.950000,6.950000,37886970
2021-01-19,7.050000,7.100000,6.650000,6.800000,6.800000,28078285
2021-01-20,6.600000,6.700000,6.500000,6.550000,6.550000,20967944
2021-01-21,6.500000,6.850000,6.250000,6.650000,6.650000,25869105
2021-01-22,6.550000,6.600000,6.350000,6.350000,6.350000,13193372
2021-01-25,6.250000,6.350000,6.050000,6.050000,6.050000,7386192
2021-01-27,5.950000,6.350000,5.750000,6.050000,6.050000,17783074
2021-01-28,6.000000,6.200000,5.800000,6.000000,6.000000,9480549
2021-01-29,6.200000,6.300000,6.150000,6.300000,6.300000,10027265
2021-02-01,6.600000,6.600000,6.550000,6.600000,6.600000,7837612
2021-02-02,6.900000,6.900000,6.400000,6.900000,6.900000,54817498
2021-02-03,7.000000,7.000000,6.700000,6.750000,6.750000,30268330
2021-02-04,6.750000,7.050000,6.750000,7.000000,7.000000,53124798
2021-02-05,6.850000,6.850000,6.400000,6.550000,6.550000,50607112
2021-02-08,6.650000,6.850000,6.500000,6.550000,6.550000,20607998
2021-02-09,6.550000,6.550000,6.200000,6.250000,6.250000,21950248
2021-02-10,6.200000,6.250000,6.000000,6.100000,6.100000,23937851
2021-02-11,6.100000,6.300000,6.100000,6.250000,6.250000,17614963
2021-02-12,6.250000,6.300000,6.050000,6.100000,6.100000,12035939
2021-02-15,6.050000,6.150000,5.800000,5.850000,5.850000,26743822
2021-02-16,5.850000,5.900000,5.500000,5.600000,5.600000,23976216
2021-02-17,5.600000,5.600000,5.100000,5.250000,5.250000,51360152
2021-02-18,5.300000,5.450000,5.200000,5.250000,5.250000,36400094
2021-02-19,5.300000,5.300000,5.150000,5.200000,5.200000,15678529
2021-02-22,5.200000,5.200000,4.900000,5.000000,5.000000,29919212
2021-02-23,5.050000,5.250000,4.950000,5.250000,5.250000,66754952
2021-02-24,5.350000,5.500000,5.300000,5.500000,5.500000,14137986
2021-02-25,5.750000,5.750000,5.500000,5.750000,5.750000,35118417
2021-02-26,5.750000,5.900000,5.500000,5.800000,5.800000,59937582
2021-03-01,5.950000,6.050000,5.800000,5.900000,5.900000,24289254
2021-03-02,5.900000,6.050000,5.850000,5.950000,5.950000,29405618
2021-03-03,5.950000,5.950000,5.700000,5.700000,5.700000,28635203
2021-03-04,5.600000,5.800000,5.550000,5.700000,5.700000,23790153
2021-03-05,5.700000,5.750000,5.500000,5.550000,5.550000,14485124
2021-03-08,5.600000,5.800000,5.600000,5.650000,5.650000,20381140
2021-03-09,5.700000,5.800000,5.450000,5.550000,5.550000,22260157
2021-03-10,5.600000,5.750000,5.600000,5.650000,5.650000,21757504
2021-03-12,5.700000,5.750000,5.500000,5.550000,5.550000,18753184
2021-03-15,5.600000,5.700000,5.550000,5.600000,5.600000,16406525
2021-03-16,5.600000,5.750000,5.600000,5.700000,5.700000,29317561
2021-03-17,5.700000,5.750000,5.450000,5.500000,5.500000,15710515
2021-03-18,5.600000,5.600000,5.300000,5.350000,5.350000,22736680
2021-03-19,5.300000,5.500000,5.100000,5.350000,5.350000,38898034
2021-03-22,5.400000,5.600000,5.300000,5.550000,5.550000,31260674
2021-03-23,5.700000,5.700000,5.400000,5.550000,5.550000,30709900
2021-03-24,5.400000,5.700000,5.300000,5.650000,5.650000,42574419
2021-03-25,5.600000,5.700000,5.400000,5.450000,5.450000,17217965
2021-03-26,5.450000,5.600000,5.300000,5.500000,5.500000,20275686
2021-03-30,5.550000,5.650000,5.250000,5.250000,5.250000,34163984
2021-03-31,5.200000,5.200000,5.000000,5.000000,5.000000,27140976
2021-04-01,5.000000,5.250000,4.850000,5.100000,5.100000,39493741
2021-04-05,5.100000,5.100000,4.850000,4.950000,4.950000,20314684
2021-04-06,4.950000,5.150000,4.950000,5.100000,5.100000,17131992
2021-04-07,5.200000,5.200000,5.000000,5.050000,5.050000,21718989
2021-04-08,5.150000,5.150000,4.950000,5.000000,5.000000,9301317
2021-04-09,5.000000,5.150000,4.950000,5.100000,5.100000,11737421
2021-04-12,4.950000,5.000000,4.600000,4.700000,4.700000,23358282
2021-04-13,4.650000,4.900000,4.650000,4.850000,4.850000,9692790
2021-04-15,4.800000,4.850000,4.650000,4.700000,4.700000,13939130
2021-04-16,4.700000,4.850000,4.650000,4.750000,4.750000,6896316
2021-04-19,4.600000,4.650000,4.400000,4.450000,4.450000,13844674
2021-04-20,4.500000,4.750000,4.500000,4.550000,4.550000,12074824
2021-04-22,4.550000,4.650000,4.500000,4.550000,4.550000,8151191
2021-04-23,4.550000,4.600000,4.450000,4.500000,4.500000,6142918
2021-04-26,4.500000,4.700000,4.500000,4.700000,4.700000,9068460
2021-04-27,4.700000,4.850000,4.700000,4.750000,4.750000,10756348
2021-04-28,4.800000,4.800000,4.700000,4.700000,4.700000,6542598
2021-04-29,4.750000,4.800000,4.600000,4.600000,4.600000,8364392
2021-04-30,4.600000,5.050000,4.500000,4.800000,4.800000,34555117
2021-05-03,4.750000,5.200000,4.700000,5.150000,5.150000,29840477
2021-05-04,5.200000,5.300000,5.000000,5.050000,5.050000,21520855
2021-05-05,5.050000,5.200000,5.000000,5.050000,5.050000,8900113
2021-05-06,5.100000,5.100000,4.950000,5.000000,5.000000,9689085
2021-05-07,5.050000,5.150000,5.000000,5.100000,5.100000,9292172
